Country,1970,1985,2000,2015
St. Martin (French part),5450,15392,28384,31754
Morocco,16000008,22537376,28849621,34803322
Monaco,23484,28835,32082,38307
Moldova,3044000,3570000,3639592,3554108
Madagascar,6576305,10063495,15766806,24234088
Maldives,115768,189637,280384,418403
Middle East & North Africa,139083819,219095273,317129227,428974903
Mexico,52029861,77360707,101719673,125890949
Marshall Islands,20395,38333,52159,52994
Middle income,2597581551,3539073108,4541041198,5426786956
Macedonia, FYR,1720800,1981534,2034819,2079308
Mali,5949045,7831889,10967690,17467905
Malta,302650,336452,390087,445053
Myanmar,26381431,37222296,46095462,52403669
Middle East & North Africa (excluding high income),127942543,195917732,280955290,367449306
Montenegro,512407,605398,604950,622159
Mongolia,1278825,1921881,2397436,2976877
Northern Mariana Islands,13127,29092,69094,54816
Mozambique,9161534,12984405,18067687,28010691
Mauritania,1148908,1769942,2709359,4182341
Mauritius,826000,1020528,1186873,1262605
Malawi,4603723,7211105,11376172,17573607
Malaysia,10803978,15598942,23185608,30723155
North America,226431000,263922898,312993944,356937591
Namibia,780384,1148302,1899257,2425561
New Caledonia,112000,154450,213230,272400
Niger,4510479,6915927,11352973,19896965
Nigeria,55981400,83613300,122352009,181181744
Nicaragua,2398096,3709091,5026796,6082035
Netherlands,13038526,14491632,15925513,16939923
Norway,3875763,4152516,4490967,5190239
Nepal,11997929,16723956,23740911,28656282
Nauru,6496,8173,10037,12475
New Zealand,2810700,3247100,3857700,4595700
OECD members,895979621,1031384389,1160068208,1284497900
Oman,723852,1498417,2267991,4199810
Other small states,11107495,15397918,20939372,29396503
Pakistan,58090759,92219488,138523285,189380513
Panama,1519299,2219276,3030347,3969249
Peru,13341069,19544956,25914879,31376671
Philippines,35804729,54323648,77991569,101716359
Palau,11480,13696,19175,21288
Papua New Guinea,2527586,3794720,5572222,7919825
Poland,32664300,37201885,38258629,37986412
Pre-demographic dividend,241027706,364199513,554097477,854646007
Puerto Rico,2718000,3377000,3810605,3473177
Korea, Dem. People’s Rep.,14410400,18877238,22929075,25243917
Portugal,8680431,10023613,10289898,10358076
Paraguay,2474106,3671826,5302700,6639119
West Bank and Gaza,,,2922153,4422143
Pacific island small states,1152036,1585014,1964216,2358955
Post-demographic dividend,840843453,936391539,1020591853,1097735849
French Polynesia,110495,175204,237258,277690
Qatar,109514,371081,592267,2481539
Romania,20250398,22755427,22442971,19815481
Russian Federation,130404000,143858000,146596557,144096870
Rwanda,3754541,6120107,8025703,11629553
South Asia,712740919,1012429641,1386625845,1744199944
Saudi Arabia,5836389,13189115,20764312,31557144
Sudan,10281700,17210187,27250535,38647803
Senegal,4257505,6484738,9884052,14976994
Singapore,2074500,2735957,4027887,5535002
Solomon Islands,160290,270801,412609,587482
Sierra Leone,2692259,3799550,4564297,7237025
El Salvador,3668595,4923860,5867626,6312478
San Marino,19138,22708,27418,32960
Somalia,3444553,6791716,9011479,13908129
Serbia,,,7516346,7095383
Sub-Saharan Africa (excluding high income),292875474,444982815,670568507,1005756630
South Sudan,3647709,5450424,6700656,11882136
Sub-Saharan Africa,292929074,445048059,670649638,1005850049
Small states,17159590,22806174,29434279,38960406
Sao Tome and Principe,74253,103634,138606,195553
Suriname,371273,371470,472390,553208
Slovak Republic,4538223,5161768,5388720,5423801
Slovenia,1724891,1941641,1988925,2063531
Sweden,8042801,8350386,8872109,9799186
Eswatini,445729,705085,1061468,1319011
Sint Maarten (Dutch part),,,30519,38824
Seychelles,53600,65244,81131,93419
Syrian Arab Republic,6350541,10648632,16410848,18734987
Turks and Caicos Islands,5633,9506,18873,34339
Chad,3643549,5091535,8342559,14009413
East Asia & Pacific (IDA & IBRD countries),1101678966,1455657360,1792988790,2013132699
Europe & Central Asia (IDA & IBRD countries),351363928,410151269,435342598,452960829
Togo,2115522,3252994,4970367,7416802
Thailand,36884913,52041469,62958021,68657600
Tajikistan,2930079,4537789,6216205,8548651
Turkmenistan,2195173,3244018,4516131,5565284
Latin America & the Caribbean (IDA & IBRD countries),275222756,389922156,508826710,614891969
Timor-Leste,605125,666945,871607,1240977
Middle East & North Africa (IDA & IBRD countries),127942543,195917732,278033137,363027163
Tonga,84369,93953,98082,106364
South Asia (IDA & IBRD),712740919,1012429641,1386625845,1744199944
Sub-Saharan Africa (IDA & IBRD countries),292929074,445048059,670649638,1005850049
Trinidad and Tobago,945993,1170928,1267984,1360092
Tunisia,5060397,7321876,9699197,11273661
Turkey,34876267,49133883,63240121,78271472
Tuvalu,7303,8650,9420,11001
Tanzania,13605529,21836999,34178042,53879957
Uganda,9446064,14646624,24039274,40144870
Ukraine,47086761,50917000,49175848,45154029
Upper middle income,1419934207,1859330151,2260805982,2537437057
Uruguay,2809803,3011908,3321245,3431552
United States,205052000,237924000,282162411,321039839
Uzbekistan,12110028,18108300,24650400,31298900
St. Vincent and the Grenadines,90452,104477,107898,109455
Venezuela, RB,11587761,17508059,24488340,31155134
British Virgin Islands,9803,13304,20645,30113
Virgin Islands (U.S.),63476,100760,108642,107710
Vietnam,43407287,61049373,80285562,93571567
Vanuatu,85389,130027,185063,264603
World,3685753341,4846338372,6121682736,7357559450
Samoa,143176,160031,174610,193759
Kosovo,1219000,1682000,1700000,1801800
Yemen, Rep.,6193810,9847899,17874725,26916207
South Africa,22839451,33730148,45728315,55291225
Zambia,4173928,6955212,10531221,16100587
Zimbabwe,5175618,8658857,12222251,15777451
